paramunit
"Weather : Cloud Cover_Coded Result"
"Weather : Wind Speed : Beaufort Scale_Coded Result"
"State of sea : Measurement of waves Scale 0-6_Coded Result"
"Mercury, Dissolved_MICROGRAM PER LITRE"
"Zinc, Dissolved_MICROGRAM PER LITRE"
"pH_PH UNITS"
"Calcium, Dissolved_MILLIGRAM PER LITRE"
"Carbon, Organic, Dissolved as C :- {DOC}_MILLIGRAM PER LITRE"
"Copper : BLM Bioavailable_MICROGRAM PER LITRE"
"Copper, Dissolved_MICROGRAM PER LITRE"
"Conductivity at 25 C_MICROSIEMENS PER CENTIMETRE"
"Ammoniacal Nitrogen as N_MILLIGRAM PER LITRE"
"Nitrogen, Total Oxidised as N_MILLIGRAM PER LITRE"
"Nitrate as N_MILLIGRAM PER LITRE"
"Nitrite as N_MILLIGRAM PER LITRE"
"Ammonia un-ionised as N_MILLIGRAM PER LITRE"
"Alkalinity to pH 4.5 as CaCO3_MILLIGRAM PER LITRE"
"Orthophosphate, reactive as P_MILLIGRAM PER LITRE"
"Grain Size Fraction: > 1000 microns_PERCENTAGE"
"Grain Size Fraction : <0.98um : {>10 phi}_PERCENTAGE"
"Grain Size Fraction : <1000um : {>0 phi}_PERCENTAGE"
"Grain Size Fraction : 2000-2800um : {-1 to -1.5 phi}_PERCENTAGE"
"Grain Size Fraction : 2800-4000um : {-1.5 to -2 phi}_PERCENTAGE"
"Grain Size Fraction : 4000-5600um : {-2 to -2.5 phi}_PERCENTAGE"
"Grain Size Fraction : 5600-8000um : {-2.5 to -3 phi}_PERCENTAGE"
"Grain Size Fraction : 8000-11200um : {-3 to -3.5 phi}_PERCENTAGE"
"Grain Size Fraction : 11200-16000um : (-3.5 to -4 phi)_PERCENTAGE"
"Grain Size Fraction:16000-22400um (-4 to-4.5 phi)_PERCENTAGE"
"Grain Size Fraction:22400-31500um (-4.5 to-5 phi)_PERCENTAGE"
"Grain Size Fraction:31500-45000um (-5 to-5.5 phi)_PERCENTAGE"
"Grain Size Fraction:45000-63000um (-5.5 to-6 phi)_PERCENTAGE"
"Site number_UNITLESS VALUE"
"Grain Size : >63000 microns_PERCENTAGE"
"Grain Size Inclusive Kurtosis_MILLIMETRE"
"Grain Size Inclusive Mean_MILLIMETRE"
"Grain Size Median_MILLIMETRE"
"Grain Size Mean_MILLIMETRE"
"Grain Size Kurtosis_UNITLESS VALUE"
"Depth relative to Chart Datum_METRE"
"Sorting Coefficient_UNITLESS VALUE"
"Grain Size Fraction : phi 0.0 to 0.5_PERCENTAGE"
"Grain Size Fraction : phi  0.5 to 1.0_PERCENTAGE"
"Grain Size Fraction : phi 1.0 to 1.5_PERCENTAGE"
"Grain Size Fraction : phi  1.5 to 2.0_PERCENTAGE"
"Grain Size Fraction : phi 2.0 to 2.5_PERCENTAGE"
"Grain Size Fraction : phi 2.5 to 3.0_PERCENTAGE"
"Grain Size Fraction : phi 3.0 to 3.5_PERCENTAGE"
"Grain Size Fraction : phi 3.5 to 4.0_PERCENTAGE"
"Grain Size Fraction : phi 4.0 to 4.5_PERCENTAGE"
"Grain Size Fraction : phi 4.5 to 5.0_PERCENTAGE"
"Grain Size Fraction : phi 5.0 to 5.5_PERCENTAGE"
"Grain Size Fraction : phi 5.5 to 6.0_PERCENTAGE"
"Grain Size Fraction : phi 6.0 to 6.5_PERCENTAGE"
"Grain Size Fraction : phi 6.5 to 7.0_PERCENTAGE"
"Grain Size Fraction : phi 7.0 to 7.5_PERCENTAGE"
"Grain Size Fraction : phi 7.5 to 8.0_PERCENTAGE"
"Grain Size Fraction : phi 8.0 to 8.5_PERCENTAGE"
"Grain Size Fraction : phi 8.5 to 9.0_PERCENTAGE"
"Grain Size Fraction : phi 9.0 to 9.5_PERCENTAGE"
"Grain Size Fraction : phi 9.5 to 10.0_PERCENTAGE"
"Grain Size Fraction : phi -0.5 to 0.0_PERCENTAGE"
"Grain Size Fraction : phi -1.0 to -0.5_PERCENTAGE"
"Inclusive Graphic Skewness :- {SKI}_UNITLESS VALUE"
"Warning Sign - Short Term Bathing Water Pollution_PRESENT/NOT FOUND"
"Catellicoccus Marker : Seabird Copy Number_log (10) Gene Copies / 100ml"
"Catellicoccus Marker : Seabird_PRESENT/NOT FOUND IN TEST"
"Mitochondrial Marker : Human copy number_log (10) Gene Copies / 100ml"
"Mitochrondrial Marker: Canine copy number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Avian copy number_log (10) Gene Copies / 100ml"
"Bacteroidetes Marker : Human copy number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Human_PRESENT/NOT FOUND IN TEST"
"Mitochondrial Marker : Canine_PRESENT/NOT FOUND IN TEST"
"Mitochondrial Marker : Avian_PRESENT/NOT FOUND IN TEST"
"Microbial Source Tracking_Text Result"
"Bacteroides HF183 primer_Coded Result"
"Preparation: DNA_UNITLESS VALUE"
"Cadmium, Dissolved_MICROGRAM PER LITRE"
"Lead, Dissolved_MICROGRAM PER LITRE"
"Nickel, Dissolved_MICROGRAM PER LITRE"
"Triphenyl Tin as Cation_MICROGRAM PER LITRE"
"Arsenic, Dissolved_MICROGRAM PER LITRE"
"Tributyl Tin as Cation_MICROGRAM PER LITRE"
"Aldrin_MICROGRAM PER LITRE"
"HCH -alpha_MICROGRAM PER LITRE"
"HCH -beta_MICROGRAM PER LITRE"
"HCH -delta_MICROGRAM PER LITRE"
"HCH -gamma :- {Lindane}_MICROGRAM PER LITRE"
"Dieldrin_MICROGRAM PER LITRE"
"Endrin_MICROGRAM PER LITRE"
"Hexachlorobenzene_MICROGRAM PER LITRE"
"Pentachlorophenol_MICROGRAM PER LITRE"
"Chloroform :- {Trichloromethane}_MICROGRAM PER LITRE"
"Drins : Total (Aldrin, Dieldrin, Endrin, Isodrin)_MICROGRAM PER LITRE"
"HCH -epsilon_MICROGRAM PER LITRE"
"Isodrin_MICROGRAM PER LITRE"
"HCH : Total Isomers : LOD as 0_MICROGRAM PER LITRE"
"Mercury : Dry Wt_MILLIGRAM PER KILOGRAM"
"Benzo(a)Anthracene : Dry Wt_MICROGRAM PER KILOGRAM"
"Benzo(g,h,i)Perylene : Dry Wt_MICROGRAM PER KILOGRAM"
"Fluoranthene : Dry Wt_MICROGRAM PER KILOGRAM"
"Nitrogen : Dry Wt as N_MILLIGRAM PER KILOGRAM"
"PCB - 028 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 052 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 101 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 118 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 138 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 153 : Dry Wt_MICROGRAM PER KILOGRAM"
"PCB - 180 : Dry Wt_MICROGRAM PER KILOGRAM"
"Hexachlorobutadiene : Dry Wt_MICROGRAM PER KILOGRAM"
"Hexachlorobenzene : Dry Wt_MICROGRAM PER KILOGRAM"
"Chrysene + Triphenylene : Dry Wt_MICROGRAM PER KILOGRAM"
"Benzo(a)Pyrene : Dry Wt_MICROGRAM PER KILOGRAM"
"Pyrene : Dry Wt_MICROGRAM PER KILOGRAM"
"Anthracene : Dry Wt_MICROGRAM PER KILOGRAM"
"Naphthalene : Dry Wt_MICROGRAM PER KILOGRAM"
"Tributyl Tin : Dry Wt as Cation_MICROGRAM PER KILOGRAM"
"2,4,4-TriBromoDiphenylEther : Dry Wt : {PBDE 28}_MICROGRAM PER KILOGRAM"
"Manganese : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Lithium : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Iron : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Indeno(1,2,3-cd)pyrene : Dry Wt_MICROGRAM PER KILOGRAM"
"Carbon, Organic : Dry Wt as C_PERCENTAGE"
"Copper : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Zinc : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Cadmium : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Aluminium : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Lead : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Arsenic : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Nickel, HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Chromium : HF Digest : Dry Wt_MILLIGRAM PER KILOGRAM"
"Sample Preparation_Text Result"
"2,2,4,4,5,5-Hexabromodiphenyl ether : Dry Wt :- {PBDE 153}_MICROGRAM PER KILOGRAM"
"2,2,4,4,5,6-Hexabromodiphenyl ether : Dry Wt :- {PBDE 154}_MICROGRAM PER KILOGRAM"
"2,2,4,4,5-Pentabromodiphenyl ether : Dry Wt :- {PBDE 99}_MICROGRAM PER KILOGRAM"
"2,2,4,4,6-Pentabromodiphenyl ether : Dry Wt :- {PBDE 100}_MICROGRAM PER KILOGRAM"
"2,2,4,4-Tetrabromodiphenyl ether : Dry Wt :- {PBDE 47}_MICROGRAM PER KILOGRAM"
"Dry Solids at 30 C_PERCENTAGE"
"Phenanthrene : Dry Wt_MICROGRAM PER KILOGRAM"
"Solids, Suspended at 105 C_MILLIGRAM PER LITRE"
"4-Nonylphenol Branched_MICROGRAM PER LITRE"
"Triclosan_MICROGRAM PER LITRE"
"4-tert-Octylphenol :- {p-tert-Octylphenol}_MICROGRAM PER LITRE"
"GCMS Screen : Target Based multi-residue screening : Semi Quantitative_Text Result"
"LCMS Screen : Semi Quantitative_Text Result"
"Perfluorooctanoate anion_MICROGRAM PER LITRE"
"Perfluorooctylsulphonate anion_MICROGRAM PER LITRE"
"Fluoranthene_MICROGRAM PER LITRE"
"Benzo(a)Pyrene_MICROGRAM PER LITRE"
"Benzo(g,h,i)Perylene_MICROGRAM PER LITRE"
"Benzo(b)Fluoranthene_MICROGRAM PER LITRE"
"Benzo(k)Fluoranthene_MICROGRAM PER LITRE"
"Indeno(1,2,3-cd)pyrene_MICROGRAM PER LITRE"
"Chromium, Dissolved_MICROGRAM PER LITRE"
"Atrazine_MICROGRAM PER LITRE"
"Benzene_MICROGRAM PER LITRE"
"Naphthalene_MICROGRAM PER LITRE"
"PAH : Total : LOD as 0_MICROGRAM PER LITRE"
"BOD : 5 Day ATU_MILLIGRAM PER LITRE"
"Chloride_MILLIGRAM PER LITRE"
"Lead : BLM Bioavailable_MICROGRAM PER LITRE"
"Mecoprop_MICROGRAM PER LITRE"
"1,2-Dichloroethane_MICROGRAM PER LITRE"
"Tetrachloroethylene :- {Perchloroethylene}_MICROGRAM PER LITRE"
"Colour Dissolved Organic Matter_Quinine Sulphate Units"
"Carbon tetrachloride :- {Tetrachloromethane}_MICROGRAM PER LITRE"
"Endosulfan A_MICROGRAM PER LITRE"
"Endosulfan B_MICROGRAM PER LITRE"
"Endosulfan : Total (A + B)_MICROGRAM PER LITRE"
"Phenol_MICROGRAM PER LITRE"
"Bacteroidetes Marker : Ruminant copy number_log (10) Gene Copies / 100ml"
"Bacteroidetes Marker : Ruminant_UNITLESS VALUE"
"Bacteroidetes Marker : Horse_PRESENT/NOT FOUND IN TEST"
"Bacteroidetes Marker : Horse Copy Number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Sheep copy number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Pig copy number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Cattle copy number_log (10) Gene Copies / 100ml"
"Bacteroidetes marker: All copy number_log (10) Gene Copies / 100ml"
"Mitochondrial Marker : Sheep_PRESENT/NOT FOUND IN TEST"
"Mitochondrial Marker : Pig_PRESENT/NOT FOUND IN TEST"
"Mitochondrial Marker : Cattle_PRESENT/NOT FOUND IN TEST"
"Bacteroidetes Marker : All_UNITLESS VALUE"
"Size Range (Weight): Mean_GRAM"
"Weight of Shellfish : Wet Wt_GRAM"
"Size range (Weight) : Smallest_GRAM"
"Size range (Weight) : Largest_GRAM"
"Number of Organisms_NUMBER"
